peak,chr,start,end,summit,category,location
peak_524b,1,2924897,2925059,2925015,Group 2,Other region
peak_528b,1,2952725,2953062,2952895,Other,Other region
peak_532,1,2982748,2982873,2982827,Other,Other region
peak_533a,1,2992308,2992613,2992397,Other,Other region
peak_536a,1,3016990,3017237,3017085,Other,Active enhancer
peak_549,1,3100000,3100237,3100044,Other,Other region
peak_551,1,3114885,3114993,3114944,Other,Other region
peak_552,1,3133339,3133460,3133395,Other,Other region
peak_556,1,3165145,3165400,3165300,Other,Other region
peak_562,1,3199756,3199845,3199802,Other,Other region
peak_564a,1,3214067,3214471,3214150,Other,Other region
peak_571,1,3238941,3239067,3239006,Other,Other region
peak_576,1,3251789,3251942,3251876,Other,Other region
peak_586,1,3295185,3295321,3295264,Other,Promoter
peak_589a,1,3298569,3298741,3298618,Other,Promoter
peak_592a,1,3299143,3299494,3299210,Other,Promoter
peak_593,1,3299740,3300011,3299886,Other,Active enhancer
peak_594,1,3305688,3306056,3305890,Other,Active enhancer
peak_596b,1,3308376,3308623,3308515,Other,Active enhancer
peak_598,1,3309671,3309742,3309703,Other,Other region
peak_600,1,3330374,3330538,3330447,Other,Other region
peak_601,1,3330643,3330793,3330703,Other,Other region
peak_609,1,3448155,3448245,3448197,Other,Other region
peak_610,1,3449140,3449264,3449216,Upregulated,Other region
peak_612,1,3457426,3457576,3457484,Other,Other region
peak_613,1,3489347,3489630,3489454,Group 1,Other region
peak_618,1,3516343,3516566,3516474,Group 2,Other region
peak_620,1,3529315,3529553,3529469,Group 1,Active enhancer
peak_623,1,3620219,3620318,3620273,Other,Other region
peak_635,1,3718563,3718738,3718652,Other,Other region
peak_637,1,3727137,3727298,3727220,Other,Other region
peak_638,1,3729907,3730003,3729950,Other,Other region
peak_644,1,3786650,3786784,3786716,Other,Other region
peak_648,1,3845850,3845968,3845890,Other,Other region
peak_661,1,4011724,4011879,4011821,Other,Other region
peak_662b,1,4023751,4024052,4023973,Group 1,Active enhancer
peak_665,1,4041901,4042100,4042012,Other,Other region
peak_673,1,4069347,4069520,4069444,Other,Other region
peak_674,1,4076897,4077015,4076949,Other,Active enhancer
peak_679,1,4101212,4101518,4101392,Other,Promoter
peak_696a,1,4277872,4278175,4277957,Other,Active enhancer
peak_699,1,4299158,4299269,4299209,Other,Other region
peak_706a,1,4330184,4330344,4330230,Group 1,Active enhancer
peak_709,1,4345201,4345360,4345283,Other,Other region
peak_711b,1,4355963,4356163,4356111,Group 2,Other region
peak_712,1,4361693,4361841,4361774,Other,Other region
peak_719,1,4406820,4407051,4406955,Group 2,Other region
peak_722b,1,4430991,4431385,4431279,Other,Other region
peak_725,1,4508271,4508381,4508311,Other,Other region
peak_726,1,4508956,4509121,4509057,Group 2,Other region
peak_732,1,4549409,4549523,4549469,Other,Other region
peak_737,1,4598017,4598130,4598064,Other,Other region
peak_738,1,4598267,4598419,4598325,Other,Other region
peak_742b,1,4637827,4638127,4637981,Group 2,Active enhancer
peak_744,1,4683129,4683283,4683193,Group 1,Other region
peak_752a,1,4724844,4725088,4724888,Group 1,Other region
peak_756,1,4740508,4740680,4740629,Other,Other region
peak_762,1,4777809,4777924,4777844,Other,Other region
peak_766,1,4828139,4828247,4828203,Other,Other region
peak_770,1,4859906,4860089,4859996,Group 2,Other region
peak_778,1,5013870,5014099,5013973,Group 1,Active enhancer
peak_779,1,5019530,5019668,5019596,Group 1,Other region
peak_784,1,5046869,5047079,5046969,Group 1,Other region
peak_787,1,5074301,5074438,5074371,Group 2,Other region
peak_791a,1,5111601,5111837,5111687,Group 1,Active enhancer
peak_799a,1,5167956,5168359,5168024,Other,Active enhancer
peak_802,1,5196617,5196813,5196738,Other,Active enhancer
peak_807,1,5227442,5227545,5227495,Other,Other region
peak_809c,1,5244413,5244754,5244673,Group 2,Active enhancer
peak_810,1,5268581,5268858,5268707,Group 2,Active enhancer
peak_811,1,5268997,5269119,5269049,Group 1,Active enhancer
peak_812,1,5273157,5273271,5273225,Other,Promoter
peak_813,1,5273355,5273582,5273435,Other,Promoter
peak_814,1,5274479,5274633,5274567,Group 1,Active enhancer
peak_815b,1,5278928,5279313,5279174,Group 1,Active enhancer
peak_816a,1,5281663,5282001,5281826,Group 2,Active enhancer
peak_820,1,5296929,5297102,5297005,Group 1,Active enhancer
peak_822,1,5300071,5300205,5300168,Other,Other region
peak_824,1,5315168,5315463,5315341,Group 2,Active enhancer
peak_829c,1,5342772,5343113,5343022,Other,Active enhancer
peak_830,1,5349649,5349865,5349782,Other,Active enhancer
peak_833,1,5367861,5368010,5367911,Other,Other region
peak_837,1,5394684,5394787,5394740,Other,Promoter
peak_839,1,5402425,5402616,5402519,Other,Promoter
peak_840,1,5407989,5408232,5408126,Group 2,Active enhancer
peak_841,1,5422416,5422525,5422456,Other,Promoter
peak_846a,1,5455005,5455361,5455083,Upregulated,Promoter
peak_847,1,5455675,5455851,5455746,Other,Promoter
peak_848,1,5457070,5457216,5457153,Other,Other region
peak_849,1,5457907,5458041,5457970,Other,Other region
peak_850,1,5468325,5468558,5468435,Group 1,Other region
peak_851,1,5478050,5478274,5478197,Group 1,Other region
peak_852,1,5484463,5484581,5484534,Other,Active enhancer
peak_853,1,5484724,5484842,5484767,Other,Active enhancer
peak_854,1,5485745,5485895,5485791,Other,Promoter
peak_857,1,5530759,5530984,5530882,Group 1,Active enhancer
peak_859,1,5542520,5542637,5542583,Other,Promoter
peak_860a,1,5542918,5543256,5543022,Other,Promoter
peak_867,1,5620280,5620449,5620349,Other,Other region
peak_882,1,5745914,5746135,5745986,Other,Promoter
peak_883,1,5751943,5752069,5751995,Other,Other region
peak_884,1,5763742,5763907,5763820,Other,Other region
peak_885,1,5766082,5766306,5766201,Group 2,Other region
peak_888,1,5804482,5804644,5804532,Group 1,Active enhancer
peak_890,1,5812972,5813169,5813089,Group 1,Other region
peak_896,1,5853345,5853487,5853414,Other,Other region
peak_898c,1,5865989,5866322,5866169,Upregulated,Other region
peak_901,1,5921137,5921333,5921229,Group 1,Other region
peak_912,1,5958695,5958799,5958738,Other,Other region
peak_915,1,5963199,5963320,5963265,Other,Active enhancer
peak_916,1,5965975,5966267,5966099,Group 1,Active enhancer
peak_917,1,5966390,5966543,5966483,Group 1,Active enhancer
peak_918,1,5966828,5967068,5966987,Group 2,Active enhancer
peak_920a,1,5976623,5976827,5976674,Other,Active enhancer
peak_922,1,5982378,5982549,5982461,Group 2,Active enhancer
peak_925,1,5991282,5991381,5991334,Other,Other region
peak_928,1,6024666,6024807,6024757,Other,Other region
peak_932,1,6043293,6043449,6043357,Other,Other region
peak_940,1,6084867,6084971,6084908,Other,Other region
peak_947a,1,6124693,6125017,6124784,Other,Active enhancer
peak_948,1,6134618,6134812,6134735,Other,Promoter
peak_949,1,6135049,6135198,6135146,Other,Promoter
peak_951,1,6139939,6140093,6140025,Group 2,Active enhancer
peak_952,1,6143008,6143360,6143291,Group 1,Active enhancer
peak_953,1,6144811,6144908,6144848,Group 1,Active enhancer
peak_961,1,6161903,6162035,6161978,Other,Promoter
peak_962,1,6162876,6162982,6162943,Other,Active enhancer
peak_963,1,6164452,6164683,6164558,Group 1,Active enhancer
peak_964b,1,6171528,6171903,6171837,Other,Promoter
peak_966,1,6176338,6176440,6176382,Group 1,Other region
peak_967,1,6185026,6185129,6185073,Group 1,Other region
peak_969b,1,6189835,6190244,6190157,Other,Promoter
peak_978,1,6225472,6225554,6225517,Other,Promoter
peak_980,1,6243877,6243959,6243918,Other,Promoter
peak_982b,1,6276235,6276688,6276468,Other,Active enhancer
peak_985,1,6334952,6335199,6335071,Other,Other region
peak_986,1,6349534,6349687,6349620,Other,Other region
peak_989a,1,6371065,6371403,6371163,Other,Active enhancer
peak_990,1,6379761,6379902,6379836,Other,Active enhancer
peak_998,1,6453294,6453449,6453392,Other,Promoter
peak_1001,1,6460781,6460994,6460856,Group 1,Active enhancer
peak_1003,1,6465997,6466197,6466061,Group 2,Other region
peak_1006,1,6493317,6493420,6493362,Other,Other region
peak_1007b,1,6494348,6494710,6494563,Other,Promoter
peak_1011,1,6506728,6507036,6506918,Group 1,Active enhancer
peak_1012,1,6508916,6509103,6508981,Group 1,Active enhancer
peak_1021,1,6625344,6625518,6625418,Group 1,Other region
peak_1022,1,6628391,6628555,6628461,Other,Other region
peak_1023,1,6628638,6628717,6628671,Other,Other region
peak_1026,1,6639550,6639637,6639587,Other,Active enhancer
peak_1031,1,6646461,6646612,6646555,Other,Promoter
peak_1032,1,6648704,6648875,6648787,Other,Other region
peak_1036,1,6667256,6667391,6667323,Other,Other region
peak_1037,1,6681267,6681392,6681342,Other,Other region
peak_1045,1,6743692,6743791,6743728,Other,Other region
peak_1058,1,6837666,6837819,6837752,Other,Other region
peak_1060,1,6855501,6855622,6855549,Other,Other region
peak_1067,1,6957085,6957181,6957124,Other,Promoter
peak_1070,1,6969026,6969159,6969095,Group 2,Other region
peak_1076,1,7020564,7020696,7020609,Other,Other region
peak_1079,1,7034211,7034332,7034272,Group 1,Active enhancer
peak_1080,1,7035870,7036049,7035937,Group 1,Other region
peak_1085b,1,7064937,7065472,7065242,Group 1,Active enhancer
peak_1086,1,7077133,7077231,7077182,Other,Other region
peak_1087b,1,7095321,7095555,7095466,Group 2,Other region
peak_1093,1,7188576,7188735,7188659,Other,Other region
peak_1094,1,7189894,7190023,7189943,Other,Promoter
peak_1097,1,7202554,7202691,7202634,Group 1,Other region
peak_1104,1,7247450,7247678,7247559,Other,Active enhancer
peak_1105,1,7254562,7254723,7254652,Other,Other region
peak_1112,1,7327302,7327434,7327357,Other,Active enhancer
peak_1124,1,7483123,7483306,7483188,Other,Other region
peak_1125,1,7495186,7495361,7495267,Group 2,Other region
peak_1127,1,7517376,7517501,7517425,Other,Promoter
peak_1128,1,7518242,7518415,7518294,Other,Active enhancer
peak_1129,1,7526639,7526793,7526713,Other,Other region
peak_1136,1,7546241,7546375,7546300,Other,Promoter
peak_1137,1,7556847,7557043,7556941,Other,Promoter
peak_1143,1,7595317,7595440,7595367,Group 2,Other region
peak_1144,1,7606089,7606208,7606155,Other,Active enhancer
peak_1145,1,7624062,7624253,7624207,Upregulated,Active enhancer
peak_1146,1,7629760,7629921,7629833,Other,Active enhancer
peak_1147,1,7640331,7640579,7640472,Group 1,Active enhancer
peak_1149,1,7659862,7660110,7660009,Other,Promoter
peak_1150a,1,7672848,7673187,7672922,Other,Promoter
peak_1151,1,7673347,7673506,7673420,Other,Promoter
peak_1152,1,7677690,7677814,7677740,Other,Other region
peak_1155,1,7679959,7680134,7680050,Other,Other region
peak_1158,1,7684407,7684545,7684454,Other,Other region
peak_1160,1,7687573,7687768,7687709,Other,Other region
peak_1162b,1,7689265,7689515,7689435,Other,Other region
peak_1163,1,7689601,7689766,7689711,Other,Other region
peak_1165,1,7701739,7701861,7701818,Other,Promoter
peak_1169,1,7764120,7764342,7764190,Other,Active enhancer
peak_1171,1,7768375,7768647,7768502,Other,Other region
peak_1176,1,7830471,7830608,7830543,Group 2,Other region
peak_1177,1,7834988,7835118,7835040,Other,Other region
peak_1178,1,7835601,7835871,7835636,Other,Other region
peak_1179,1,7836120,7836285,7836220,Other,Other region
peak_1182,1,7844415,7844536,7844481,Other,Other region
peak_1187,1,7894147,7894363,7894252,Other,Promoter
peak_1189a,1,7920605,7920808,7920664,Group 2,Promoter
peak_1190,1,7977276,7977379,7977316,Group 1,Active enhancer
peak_1191,1,7981192,7981419,7981249,Group 1,Other region
peak_1195,1,8032875,8033036,8032974,Other,Active enhancer
peak_1196,1,8034216,8034297,8034258,Other,Other region
peak_1206,1,8099905,8100085,8099993,Other,Other region
peak_1212,1,8106016,8106152,8106079,Group 1,Other region
peak_1218,1,8140216,8140489,8140407,Other,Promoter
peak_1220,1,8141080,8141300,8141201,Other,Promoter
peak_1221,1,8141468,8141637,8141528,Other,Promoter
peak_1239,1,8233248,8233412,8233310,Other,Other region
peak_1245,1,8419290,8419407,8419354,Other,Other region
peak_1248,1,8428685,8428854,8428773,Other,Promoter
peak_1253,1,8508509,8508662,8508565,Other,Promoter
peak_1254,1,8508799,8508925,8508846,Other,Promoter
peak_1255,1,8509205,8509376,8509298,Other,Promoter
peak_1259,1,8521264,8521364,8521319,Other,Promoter
peak_1260,1,8522043,8522179,8522100,Other,Active enhancer
peak_1261,1,8534054,8534168,8534120,Other,Active enhancer
peak_1265,1,8553225,8553468,8553331,Group 2,Promoter
peak_1277c,1,8651561,8651913,8651818,Other,Promoter
peak_1278,1,8652594,8652804,8652685,Other,Promoter
peak_1279,1,8653706,8653821,8653768,Other,Promoter
peak_1280,1,8661330,8661488,8661404,Other,Other region
peak_1285,1,8672572,8672681,8672641,Other,Active enhancer
peak_1289,1,8693878,8694233,8694096,Other,Promoter
peak_1291,1,8695703,8695921,8695776,Group 2,Active enhancer
peak_1293,1,8704548,8704719,8704631,Other,Active enhancer
peak_1294,1,8704830,8704992,8704886,Other,Active enhancer
peak_1298,1,8916533,8916696,8916581,Other,Other region
peak_1299b,1,8918124,8918297,8918225,Group 1,Promoter
peak_1301,1,8938382,8938493,8938447,Other,Other region
peak_1305,1,8977894,8978086,8977984,Other,Promoter
peak_1307,1,9004604,9004790,9004687,Upregulated,Promoter
peak_1314,1,9096215,9096367,9096306,Other,Active enhancer
peak_1316,1,9115019,9115122,9115067,Other,Promoter
peak_1318b,1,9123145,9123464,9123396,Other,Promoter
peak_1321,1,9144801,9144933,9144871,Other,Promoter
peak_1324,1,9153036,9153234,9153142,Other,Promoter
peak_1331,1,9175943,9176108,9175995,Group 2,Active enhancer
peak_1332,1,9182231,9182427,9182344,Other,Other region
peak_1333,1,9186068,9186165,9186115,Other,Active enhancer
peak_1335,1,9195895,9196083,9195974,Other,Promoter
peak_1336,1,9198188,9198257,9198219,Other,Promoter
peak_1338,1,9227238,9227336,9227274,Other,Promoter
peak_1340,1,9234672,9234777,9234718,Other,Other region
peak_1342,1,9277795,9277935,9277848,Other,Promoter
peak_1343a,1,9282779,9283151,9282843,Group 2,Active enhancer
peak_1344b,1,9284054,9284318,9284219,Other,Active enhancer
peak_1346,1,9288116,9288235,9288182,Other,Other region
peak_1349b,1,9289903,9290172,9290052,Other,Promoter
peak_1351,1,9292149,9292279,9292214,Other,Other region
peak_1352a,1,9294478,9294791,9294553,Other,Active enhancer
peak_1353,1,9295805,9295949,9295872,Other,Active enhancer
peak_1362,1,9379259,9379456,9379366,Other,Active enhancer
peak_1363b,1,9385263,9385664,9385532,Upregulated,Active enhancer
peak_1367,1,9457672,9458062,9457850,Group 2,Active enhancer
peak_1368,1,9485723,9485946,9485847,Other,Promoter
peak_1369,1,9486031,9486190,9486115,Other,Promoter
peak_1371,1,9527064,9527218,9527159,Other,Promoter
peak_1378,1,9652041,9652185,9652098,Other,Promoter
peak_1388,1,9735282,9735471,9735362,Group 1,Active enhancer
peak_1391,1,9858438,9858620,9858544,Other,Promoter
peak_1393,1,9860448,9860611,9860546,Other,Promoter
peak_1396,1,9877352,9877511,9877411,Other,Other region
peak_1399,1,9886834,9887026,9886918,Other,Promoter
peak_1405,1,9940936,9941226,9941021,Other,Promoter
peak_1406,1,9946551,9946784,9946657,Other,Active enhancer
peak_1409,1,10003291,10003510,10003380,Upregulated,Promoter
peak_1414,1,10018445,10018612,10018532,Other,Promoter
peak_1419,1,10062114,10062256,10062201,Group 1,Other region
peak_1423,1,10088956,10089053,10089007,Group 1,Other region
peak_1428b,1,10107393,10107840,10107704,Group 1,Active enhancer
peak_1429,1,10110043,10110288,10110151,Other,Promoter
peak_1433,1,10118848,10119025,10118947,Upregulated,Promoter
peak_1434,1,10125847,10126023,10125966,Other,Active enhancer
peak_1436,1,10127100,10127235,10127149,Other,Promoter
peak_1443,1,10294989,10295098,10295043,Other,Active enhancer
peak_1444,1,10296955,10297108,10297036,Other,Promoter
peak_1445,1,10297234,10297339,10297279,Other,Promoter
peak_1446,1,10305561,10305693,10305629,Other,Promoter
peak_1449,1,10318209,10318324,10318267,Other,Promoter
peak_1455b,1,10337751,10338081,10337972,Group 2,Other region
peak_1465,1,10406926,10407169,10407097,Group 1,Active enhancer
peak_1470,1,10473565,10473739,10473663,Upregulated,Promoter
peak_1474,1,10495959,10496065,10496001,Group 1,Other region
peak_1480,1,10582093,10582247,10582177,Group 1,Other region
peak_1484,1,10616907,10617025,10616967,Other,Other region
peak_1492,1,10683665,10683778,10683699,Other,Promoter
peak_1496,1,10708639,10708717,10708676,Other,Other region
peak_1497,1,10720019,10720247,10720201,Other,Promoter
peak_1507,1,10820591,10820734,10820667,Upregulated,Active enhancer
peak_1512a,1,10884398,10884672,10884437,Other,Active enhancer
peak_1513,1,10885241,10885438,10885340,Upregulated,Promoter
peak_1516,1,10901386,10901700,10901560,Group 1,Active enhancer
peak_1518,1,10904131,10904260,10904179,Other,Promoter
peak_1522,1,10974389,10974503,10974443,Group 1,Active enhancer
peak_1523,1,10975200,10975435,10975291,Group 1,Active enhancer
peak_1528,1,11056690,11056897,11056749,Other,Other region
peak_1531,1,11057536,11057695,11057635,Other,Other region
peak_1532,1,11081307,11081475,11081403,Group 2,Other region
peak_1533,1,11099939,11100091,11100017,Group 2,Other region
peak_1540,1,11132181,11132278,11132242,Other,Other region
peak_1543,1,11133769,11133927,11133830,Group 1,Other region
peak_1546b,1,11232478,11232731,11232673,Other,Other region
peak_1555,1,11412229,11412435,11412328,Other,Other region
peak_1556,1,11416346,11416437,11416401,Other,Other region
peak_1557,1,11450085,11450201,11450152,Other,Other region
peak_1560,1,11495603,11495763,11495689,Group 1,Active enhancer
peak_1561,1,11496427,11496605,11496510,Group 1,Active enhancer
peak_1567,1,11509091,11509251,11509155,Other,Other region
peak_1576,1,11675019,11675177,11675069,Other,Other region
peak_1578,1,11681936,11682083,11682001,Upregulated,Other region
peak_1580,1,11689510,11689704,11689604,Other,Promoter
peak_1581,1,11705983,11706080,11706030,Other,Other region
peak_1582,1,11711381,11711560,11711471,Other,Promoter
peak_1587,1,11778357,11778537,11778449,Other,Other region
peak_1590,1,11800863,11801105,11800991,Group 1,Active enhancer
peak_1591b,1,11832150,11832447,11832300,Group 1,Active enhancer
peak_1595,1,11850059,11850211,11850126,Other,Promoter
peak_1597,1,11853336,11853564,11853402,Group 1,Active enhancer
peak_1607b,1,11905994,11906142,11906100,Group 1,Active enhancer
peak_1613,1,11972671,11972789,11972722,Other,Active enhancer
peak_1615,1,11973259,11973448,11973354,Upregulated,Promoter
peak_1620,1,12054882,12055027,12054961,Other,Other region
peak_1621,1,12064323,12064429,12064374,Other,Promoter
peak_1622,1,12064748,12064901,12064816,Other,Promoter
peak_1623,1,12068655,12068754,12068698,Other,Promoter
peak_1624,1,12087127,12087301,12087210,Other,Other region
peak_1625b,1,12088138,12088360,12088282,Other,Other region
peak_1626,1,12103440,12103624,12103535,Other,Other region
peak_1627,1,12126409,12126531,12126449,Other,Promoter
